@id,@lon,@lat,name,description
4284806180,20.7942347,42.0836407,Кара Никола,2409
4305525824,21.6193577,41.328046,Ѓуле,1568
4309784946,21.101872,41.6139941,Tuinsko Kale,1800
4314052734,21.0710797,41.4377799,Голем Сач,1698
4318454175,21.5875513,41.4505452,Бубулец,1014
4319313668,21.4336709,41.1320936,Козомарица,582
4319318894,21.4265054,41.1338243,Бостаниште,581
4338250846,21.6992009,42.2090216,Трговиште,389
4344124104,20.5599267,41.5809648,Дели Сеница,2174
4344124105,20.5638951,41.5795298,Рудина,2238
4346150402,21.095359,41.1245408,Голем Камен,1656
4355668031,21.8296436,41.4194205,Голеш,672
4485860358,20.8322861,40.9760769,Бајраче,1924
4510978862,20.9200076,42.1285847,Црн Врв,2585
4510998121,20.9632374,42.1367397,Гужбаба,2609
4514067136,21.4551072,42.1628734,Пржар,1626
4515546867,21.0092633,42.150622,Езерски Врв,2586
4579784321,21.4731333,42.1583291,Црн Камен,1585
4618408982,20.7765241,41.9184854,Голема Рудока,2658
4644411011,20.8432935,42.0986564,Вртоп,2555
4644412785,20.73756,41.8881379,Мала Враца,2536
4652558083,21.0669743,42.1850901,Ливадица,2497
4723968542,20.7987065,41.9345571,Бориславец,2675
4831423007,20.7515975,41.8967789,Голема Враца,2582
4901245606,20.7845598,42.0780881,Скарпа,2474
4985346788,20.6823267,41.4306732,Бабин Срт,2241
4985350519,20.7253289,41.7909559,Лера,2194
4989853297,20.8122566,42.0240426,Плат,2398
4989867511,20.7922676,42.0122804,Средни Камен,2465
4992608399,20.8836989,42.0960859,Кобилица,2528
5011474684,20.8169778,41.9885698,Бакардан,2700
5011527472,20.8363199,42.0032884,Син Врв,2550
5011535125,20.8212775,42.0007271,Карабунар,2600
5020442822,20.5297742,41.2845152,Стрижак,2233
5089635030,20.7544383,41.9797605,Брдалево,2369
5094078482,21.2215492,40.8787008,Стол,2132
5094145552,21.2428795,40.8742114,Бојаџиев Врв,2334
5094479984,21.2596613,40.8593901,Бела Вода,2155
5143807177,20.7650301,42.0453492,Залина,2493
5162700228,20.7674506,41.9535613,Трaпезница,2590
5162700229,20.7668007,41.9632462,Џинибег,2610
5208042010,21.3937075,41.2062831,Страчкојца,736
5247223414,20.9448235,42.1380905,Коњушка,2571
5250904172,21.0338639,42.159212,Раша,2454
5250917833,21.0488399,42.1660049,Пирибег,2524
5253858494,22.9274352,41.3385216,Тумба,1880.5
5297308182,20.9298992,40.918523,Алта Чука,1254
5297308185,20.9570375,40.9164422,Високи Врв,1293
5326272250,21.4321605,42.2598006,Два Гроба,
5349039226,21.4443078,41.2707102,Св. Илија,674
5378454790,21.4409465,42.2345313,Кодра Фура,1492
5387110181,20.5943749,41.8771924,Шерупа,2092
